nom,type,note,x,y
"""O"" Delices",restaurant,2.2,47.53395,-18.90722
A'TO Restaurant,restaurant,2.0,47.53338,-18.89503
Abu Nawass,restaurant,2.1,47.50832,-18.90353
Aeropizza,restaurant,4.4,47.52705,-18.95134
Aina Restaurant,restaurant,2.7,47.52826,-18.91922
Akoho Ambanidia,restaurant,2.7,47.53683,-18.92018
Alishane,restaurant,4.8,47.50604,-18.90724
ALL GRILLADE NAMONTANA,restaurant,2.7,47.51253,-18.93545
Antanimena,restaurant,1.0,47.51902,-18.89718
Ari Rang,restaurant,2.3,47.53037,-18.86541
Art'Home,restaurant,1.5,47.52794,-18.92617
Au Bistro Lamako,restaurant,3.7,47.54728,-18.91706
Au Bon Accueil,restaurant,3.9,47.52749,-18.91344
Au Coeur de Jade,restaurant,2.1,47.52724,-18.91704
BACKSTAGE RESTAURANT,restaurant,2.6,47.52192,-18.90125
Badass,restaurant,4.1,47.54249,-18.88174
Bakary Sakafo,restaurant,1.8,47.5537,-18.92139
Bali Chill Bar & Grill,restaurant,3.6,47.52393,-18.90912
Belvedere,restaurant,3.6,47.51766,-18.91046
Bissap Restaurant,restaurant,4.0,47.52199,-18.907
Blitz Food,restaurant,4.3,47.49409,-18.87076
Bonara be restau,restaurant,4.9,47.51207,-18.90259
Bonzai,restaurant,1.9,47.5082,-18.91047
Boutique & café du Rova,restaurant,1.5,47.53265,-18.9229
Brunch Club,restaurant,4.3,47.53592,-18.91598
Café d'Octobre,restaurant,1.1,47.52753,-18.93205
Café du Musée,restaurant,1.3,47.53392,-18.91796
CEMES Soanierana,restaurant,1.0,47.52436,-18.94123
Chalet Arirang,restaurant,3.3,47.52009,-18.91036
Chalet des Roses,restaurant,3.6,47.52395,-18.9093
Chantaco Ampefiloha,restaurant,2.0,47.51747,-18.91326
Charlotte,restaurant,2.1,47.53305,-18.91512
Chez Arnaud Andohanimandroseza,restaurant,1.7,47.55007,-18.92454
Chez MAXIME,restaurant,4.5,47.51862,-18.87037
Chez Mme Erick,restaurant,2.1,47.50636,-18.90334
Chez Papato,restaurant,1.1,47.53043,-18.9054
Chez Sucett's,restaurant,3.4,47.52123,-18.91118
Chez Vina,restaurant,5.0,47.54819,-18.89239
Chick'n Art,restaurant,3.8,47.52228,-18.89228
Chicken Joy,restaurant,3.8,47.54301,-18.88062
Chill Out Café Ambondrona,restaurant,3.2,47.52791,-18.90655
CITIZEN,restaurant,1.0,47.52063,-18.91365
Clin d'Oeil,restaurant,2.7,47.51178,-18.9033
Coeur'o'lait,restaurant,3.3,47.53725,-18.91444
Daily Leader,restaurant,2.1,47.56232,-18.88041
Dely's restaurant,restaurant,1.3,47.52137,-18.91369
DRAGON ROYAL Restaurant,restaurant,1.5,47.52834,-18.89459
Dubai Restaurant,restaurant,1.9,47.50258,-18.94339
DUO,restaurant,4.4,47.52225,-18.90513
Délice Pizza,restaurant,2.9,47.54317,-18.90692
Emma planque,restaurant,1.5,47.53498,-18.87108
Esperça,restaurant,1.2,47.52657,-18.90349
Extra pizza,restaurant,1.4,47.52467,-18.9077
ExtraPizza,restaurant,1.3,47.54815,-18.89481
ExtraSandwich,restaurant,1.9,47.54814,-18.89463
Fast Italy,restaurant,4.0,47.51069,-18.87062
Fatapera,restaurant,4.5,47.52709,-18.91149
Fida’s Grill,restaurant,2.1,47.52151,-18.92126
Fiesta,restaurant,4.0,47.53595,-18.93202
Fish And Chips Restaurant,restaurant,4.3,47.52588,-18.89271
Fish and Ships Restaurant,restaurant,4.4,47.53512,-18.93352
Flamboyant,restaurant,1.0,47.55773,-18.92134
Foie gras de Tana,restaurant,1.5,47.52041,-18.91219
Fraise Halal,restaurant,1.1,47.51638,-18.91401
Gargotte,restaurant,1.8,47.52844,-18.90416
Gargotte,restaurant,2.3,47.52837,-18.90421
Gargotte,restaurant,4.0,47.52791,-18.90435
Gastro pizza,restaurant,3.4,47.50289,-18.91014
Gioia,restaurant,2.0,47.52512,-18.90826
Grand Orient,restaurant,3.6,47.52251,-18.90341
Grillade Pazza Tapas,restaurant,5.0,47.548,-18.8947
Grizzlee Steakhouse,restaurant,4.7,47.52052,-18.91085
Hotel Relais de la Haute Ville,restaurant,3.6,47.53241,-18.91712
